Date,Sales
2018-01-31,108.82
2018-02-28,102.00
2018-03-31,106.89
2018-04-30,113.20
2018-05-31,111.34
2018-06-30,100.11
2018-07-31,112.75
2018-08-31,107.24
2018-09-30,108.48
2018-10-31,112.05
2018-11-30,111.72
2018-12-31,117.27
2019-01-31,115.80
2019-02-28,113.61
2019-03-31,116.22
2019-04-30,118.67
2019-05-31,123.47
2019-06-30,116.97
2019-07-31,120.57
2019-08-31,116.73
2019-09-30,107.24
2019-10-31,124.27
2019-11-30,126.32
2019-12-31,119.29
2020-01-31,136.35
2020-02-29,117.73
2020-03-31,126.02
2020-04-30,126.06
2020-05-31,135.66
2020-06-30,135.35
2020-07-31,130.77
2020-08-31,132.89
2020-09-30,129.56
2020-10-31,124.10
2020-11-30,132.26
2020-12-31,137.16
2021-01-31,140.15
2021-02-28,137.35
2021-03-31,135.68
2021-04-30,137.30
2021-05-31,136.75
2021-06-30,137.90
2021-07-31,138.51
2021-08-31,148.75
2021-09-30,142.04
2021-10-31,143.80
2021-11-30,145.78
2021-12-31,150.08
2022-01-31,146.63
2022-02-28,150.73
2022-03-31,150.89
2022-04-30,154.19
2022-05-31,153.73
2022-06-30,153.10
2022-07-31,158.94
2022-08-31,156.06
2022-09-30,158.17
2022-10-31,157.53
2022-11-30,158.20
2022-12-31,159.93
